"","DSI"
"1158",-2.3745
"1159",-2.4339
"1160",-2.6116
"1161",-2.3886
"1162",-2.2124
"1163",-2.6008
"1164",-2.6001
"1165",-2.5095
"1166",-2.5089
"1167",-3.0687
"1168",-2.8538
"1169",-2.8232
"1170",-2.5503
"1171",-2.689
"1172",-2.5833
"1173",-2.4709
"1174",-2.5931
"1175",-2.8235
"1176",-2.7368
"1177",-2.5759
"1178",-2.7098
"1179",-2.6797
"1180",-2.7641
"1181",-2.7602
"1182",-2.774
"1183",-2.6437
"1184",-2.7517
"1185",-2.8302
"1186",-2.6542
"1187",-2.7319
"1188",-2.9882
"1189",-2.6393
"1190",-2.6539
"1191",-2.4562
"1192",-2.523
"1193",-2.5305
"1194",-2.7653
"1195",-2.5101
"1196",-2.5778
"1197",-2.9494
"1198",-2.4175
"1199",-2.6494
"1200",-2.6848
"1201",-2.5573
"1202",-2.7603
"1203",-2.7557
"1204",-2.7769
"1205",-2.759
"1206",-2.8531
"1207",-2.9501
"1208",-2.9251
"1209",-2.8577
"1210",-2.898
"1211",-2.5785
"1212",-2.5758
"1213",-2.7752
"1214",-2.4201
"1215",-2.65
"1216",-2.484
"1217",-2.4018
"1218",-2.6568
"1219",-2.6325
"1220",-2.3918
"1221",-2.6592
"1222",-2.2529
"1223",-2.5508
"1224",-2.4256
"1225",-2.2007
"1226",-2.419
"1227",-2.4859
"1228",-2.2174
"1229",-2.2977
"1230",-1.9406
"1231",-2.5619
"1232",-2.4967
"1233",-2.5122
"1234",-2.326
"1235",-1.8396
"1236",-2.3834
"1237",-2.3319
"1238",-2.4488
"1239",-2.053
"1240",-2.3437
"1241",-2.4344
"1242",-2.0028
"1243",-2.3865
"1244",-2.1277
"1245",-1.9896
"1246",-2.1781
"1247",-2.142
"1248",-2.2533
"1249",-2.3461
"1250",-2.4778
"1251",-2.2963
"1252",-2.2137
"1253",-2.4179
"1254",-2.7166
"1255",-2.7234
"1256",-2.4423
"1257",-2.6757
"1258",-2.3546
"1259",-2.4988
"1260",-2.4871
"1261",-2.4489
"1262",-2.5973
"1263",-2.2334
"1264",-2.4016
"1265",-2.2556
"1266",-2.2997
"1267",-2.2325
"1268",-1.9679
"1269",-2.4322
"1270",-2.3065
"1271",-2.299
"1272",-2.5123
"1273",-2.5026
"1274",-2.1095
"1275",-2.3339
"1276",-2.3266
"1277",-2.1965
"1278",-2.2336
"1279",-2.4424
"1280",-2.235
"1281",-2.2834
"1282",-2.4204
"1283",-2.5008
"1284",-2.2833
"1285",-2.3718
"1286",-2.3518
"1287",-2.527
"1288",-2.4051
"1289",-2.5258
"1290",-2.2303
"1291",-2.7264
"1292",-2.4525
"1293",-2.5261
"1294",-2.764
"1295",-2.8629
"1296",-2.6036
"1297",-2.5477
"1298",-2.3624
"1299",-2.1518
"1300",-2.5741
"1301",-2.2509
"1302",-2.8297
"1303",-3.0413
"1304",-2.8386
"1305",-2.973
"1306",-2.7253
"1307",-2.7126
"1308",-3.0027
"1309",-2.5853
"1310",-2.2898
"1311",-2.3967
"1312",-2.3829
"1313",-2.5661
"1314",-2.7981
"1315",-2.7076
"1316",-2.6922
"1317",-2.8
"1318",-2.5046
"1319",-2.6302
"1320",-2.6659
"1321",-2.3676
"1322",-2.3632
"1323",-2.6086
"1324",-2.6016
"1325",-2.6213
"1326",-2.2989
"1327",-2.2757
"1328",-2.4005
"1329",-2.5364
"1330",-2.198
"1331",-2.234
"1332",-2.2809
"1333",-2.5407
"1334",-2.3365
"1335",-2.2091
"1336",-2.1608
"1337",-2.2215
"1338",-2.2335
"1339",-2.3577
"1340",-2.2377
"1341",-2.3427
"1342",-2.395
"1343",-2.2723
"1344",-2.2973
"1345",-2.499
"1346",-2.3618
"1347",-2.5593
"1348",-2.5916
"1349",-2.796
"1350",-2.5441
"1351",-2.6778
"1352",-2.2415
"1353",-2.3003
"1354",-2.5257
"1355",-2.5479
"1356",-2.3034
"1357",-2.3507
"1358",-2.6007
"1359",-2.18
"1360",-2.1939
"1361",-2.7059
"1362",-2.3624
"1363",-2.8591
"1364",-2.5288
"1365",-2.2767
"1366",-2.4256
"1367",-2.6196
"1368",-2.5511
"1369",-2.4297
"1370",-2.517
"1371",-2.6187
"1372",-2.6938
"1373",-2.4847
"1374",-2.3874
"1375",-2.6735
"1376",-2.3033
"1377",-1.9317
"1378",-2.2507
"1379",-2.2642
"1380",-2.475
"1381",-2.5888
"1382",-2.3274
"1383",-2.2246
"1384",-2.3127
"1385",-2.4419
"1386",-2.607
"1387",-2.612
"1388",-2.4345
"1389",-2.5755
"1390",-2.4389
"1391",-2.9151
"1392",-2.6798
"1393",-2.6861
"1394",-2.82
"1395",-2.9059
"1396",-3.0199
"1397",-2.9665
"1398",-3.1695
"1399",-2.4761
"1400",-2.796
"1401",-2.6977
"1402",-2.9162
"1403",-2.7096
"1404",-2.8196
"1405",-2.8109
"1406",-2.6365
"1407",-2.483
"1408",-2.2365
"1409",-2.2079
"1410",-2.4312
"1411",-2.3466
"1412",-2.2567
"1413",-2.838
"1414",-2.6042
"1415",-2.7415
"1416",-2.557
"1417",-2.7484
"1418",-2.7382
"1419",-2.3989
"1420",-2.4748
"1421",-2.6875
"1422",-2.5083
"1423",-2.6074
"1424",-2.7659
"1425",-3.1131
"1426",-2.7244
"1427",-2.9408
"1428",-2.894
"1429",-2.8203
"1430",-2.4625
"1431",-2.7015
"1432",-2.5733
"1433",-2.5289
"1434",-2.5299
"1435",-2.4907
"1436",-2.6689
"1437",-3.0142
"1438",-2.394
"1439",-2.8949
"1440",-2.4579
"1441",-2.3416
"1442",-2.6133
"1443",-2.7528
"1444",-2.7333
"1445",-2.8701
"1446",-3.2239
"1447",-2.9141
"1448",-2.8227
"1449",-2.7546
"1450",-2.7198
"1451",-2.8348
"1452",-2.7219
"1453",-2.7625
"1454",-2.5378
"1455",-2.9612
"1456",-2.7879
"1457",-2.5761
"1458",-3.0691
"1459",-2.5025
"1460",-2.7812
"1461",-2.5035
"1462",-2.7864
"1463",-2.6707
"1464",-2.385
"1465",-2.7692
"1466",-2.994
"1467",-2.7055
"1468",-2.6912
"1469",-2.663
"1470",-2.5447
"1471",-2.5624
"1472",-2.4101
"1473",-2.1809
"1474",-2.4884
"1475",-2.7915
"1476",-2.2102
"1477",-2.4557
"1478",-2.4765
"1479",-2.8334
"1480",-2.8398
"1481",-2.8341
"1482",-2.6222
"1483",-2.4741
"1484",-2.4543
"1485",-2.5007
"1486",-2.7266
"1487",-2.4556
"1488",-2.6883
"1489",-2.5709
"1490",-2.81
"1491",-2.9203
"1492",-2.8918
