"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"284",37.5466,21.6415,12.5807,25.494
"285",37.2467,21.5877,12.5764,25.3789
"286",37.0905,21.6029,12.4668,25.3546
"287",37.4807,21.593,12.5011,25.426
"288",37.7328,21.5969,12.5351,25.4433
"289",37.2456,21.6087,12.5809,25.3694
"290",37.474,21.6073,12.5223,25.3835
"291",37.5121,21.6361,12.5093,25.452
"292",37.4351,21.6638,12.5552,25.4156
"293",36.9819,21.712,12.5329,25.3574
"294",36.6423,21.6311,12.4964,25.244
"295",36.9012,21.6454,12.5353,25.3312
"296",36.8332,21.6021,12.4495,25.3192
"297",37.4444,21.6497,12.5305,25.4688
"298",37.0057,21.6642,12.4725,25.4081
"299",37.4746,21.6218,12.4783,25.4926
"300",36.8478,21.6489,12.395,25.3924
"301",37.2651,21.6358,12.4679,25.4673
"302",36.8707,21.4944,12.5239,25.2906
"303",37.1892,21.7136,12.5183,25.5108
"304",37.6216,21.6561,12.5202,25.5798
"305",37.4509,21.6047,12.5164,25.502
"306",37.1985,21.663,12.6549,25.4672
"307",37.7462,21.6917,12.5496,25.6118
"308",37.6825,21.5892,12.5856,25.5439
"309",37.112,21.6603,12.5686,25.466
"310",37.0866,21.7045,12.6146,25.4885
"311",37.1966,21.6633,12.5942,25.4697
"312",36.6813,21.6204,12.5292,25.3375
"313",36.9303,21.6678,12.5229,25.4316
"314",36.8089,21.6259,12.5816,25.3838
"315",36.8683,21.6316,12.4907,25.358
"316",36.9573,21.6757,12.553,25.3937
"317",37.4961,21.7151,12.5998,25.536
"318",37.0113,21.6883,12.5211,25.4061
"319",36.5082,21.7111,12.5321,25.3557
"320",37.4948,21.6509,12.5328,25.515
"321",37.2437,21.704,12.4879,25.4664
"322",37.35,21.6667,12.5026,25.4304
"323",37.6929,21.6341,12.4884,25.4849
"324",37.7091,21.6917,12.5413,25.5282
"325",37.6036,21.7265,12.4893,25.5494
"326",37.7312,21.6708,12.4628,25.4839
"327",37.4087,21.6133,12.5098,25.3926
"328",37.5041,21.6117,12.5478,25.3916
"329",37.7115,21.7168,12.4668,25.5
"330",38.0547,21.5478,12.5611,25.4224
"331",37.5252,21.5839,12.483,25.3352
"332",37.5459,21.6652,12.4984,25.3993
"333",37.7786,21.6812,12.4926,25.4509
"334",37.7272,21.5432,12.4901,25.3314
"335",37.677,21.6065,12.4825,25.3772
"336",37.5733,21.6368,12.5016,25.3907
"337",37.7539,21.6214,12.4986,25.4105
"338",37.6197,21.5758,12.5474,25.3582
"339",37.5292,21.503,12.4964,25.3045
"340",37.8011,21.5488,12.4944,25.3581
"341",37.6798,21.5471,12.5333,25.3391
"342",37.2421,21.5187,12.5003,25.2576
"343",37.301,21.5725,12.4527,25.2827
"344",36.757,21.5045,12.53,25.1582
"345",36.6109,21.479,12.5932,25.0775
"346",36.8438,21.4666,12.5903,25.1318
"347",37.13,21.5191,12.5461,25.2134
"348",37.1672,21.5876,12.6703,25.3089
"349",37.4593,21.4904,12.5979,25.2895
"350",36.9453,21.515,12.5844,25.2238
"351",37.0372,21.535,12.5264,25.2631
"352",36.8812,21.6194,12.5769,25.3322
"353",36.9173,21.5301,12.5063,25.2586
"354",37.0324,21.5433,12.5303,25.2815
"355",36.179,21.4972,12.524,25.0775
"356",36.778,21.4364,12.5453,25.1534
"357",36.9394,21.5025,12.4624,25.2445
"358",36.6856,21.47,12.5018,25.1625
"359",36.7407,21.5647,12.5292,25.2545
"360",36.908,21.5126,12.4562,25.2265
"361",36.5191,21.532,12.56,25.2112
"362",37.046,21.527,12.5771,25.2779
"363",37.1147,21.5069,12.5752,25.2977
"364",36.701,21.5208,12.525,25.1977
"365",36.8278,21.5483,12.5991,25.2721
"366",36.6229,21.4996,12.535,25.1666
"367",36.5469,21.4758,12.5208,25.1336
"368",37.0522,21.4563,12.4491,25.2139
"369",36.6925,21.5495,12.4888,25.2018
"370",36.6563,21.4212,12.5705,25.1091
"371",36.5077,21.4876,12.553,25.1343
"372",36.1777,21.4525,12.6307,25.0658
"373",36.5491,21.5359,12.6482,25.2051
"374",37.1068,21.5214,12.5811,25.3301
"375",37.3074,21.4885,12.5309,25.2806
"376",37.5119,21.4101,12.5299,25.2787
"377",37.1808,21.5579,12.605,25.3041
"378",36.9958,21.5161,12.5778,25.246
"379",37.3797,21.5525,12.5359,25.3513
"380",37.5485,21.544,12.4658,25.3845
"381",37.778,21.5558,12.4566,25.4608
"382",37.5244,21.537,12.4472,25.3251
"383",37.4339,21.5569,12.4025,25.3436
"384",37.9803,21.5314,12.4744,25.4632
"385",37.9382,21.52,12.4286,25.4115
"386",38.1147,21.4884,12.4394,25.4407
"387",37.5728,21.4453,12.5273,25.3237
"388",37.9028,21.5381,12.4247,25.4226
"389",37.5642,21.5559,12.5061,25.4155
"390",37.9724,21.5277,12.443,25.4195
"391",38.1729,21.5706,12.4675,25.4655
"392",37.965,21.6253,12.4601,25.4479
"393",37.868,21.5913,12.4457,25.3903
"394",37.5123,21.5332,12.5267,25.3277
"395",37.4231,21.5729,12.4601,25.3185
"396",37.4638,21.5659,12.4712,25.3343
"397",38.0274,21.6432,12.5404,25.4848
"398",38.552,21.5602,12.454,25.5514
"399",37.8684,21.5263,12.5026,25.368
"400",37.6588,21.6208,12.5349,25.3868
"401",36.5822,21.5103,12.5157,25.1182
"402",37.0095,21.4793,12.5557,25.1424
"403",36.8891,21.5838,12.5279,25.167
"404",37.0986,21.4653,12.4618,25.1164
"405",37.7772,21.5705,12.4369,25.2987
"406",37.7318,21.5479,12.489,25.3089
"407",38.1569,21.6615,12.4833,25.4832
"408",37.3429,21.5531,12.4759,25.2221
"409",37.5439,21.567,12.5107,25.2744
"410",37.8866,21.5667,12.4207,25.3597
"411",37.4875,21.5559,12.4538,25.2703
"412",37.2129,21.5347,12.5424,25.1904
"413",36.8747,21.5661,12.5015,25.1303
"414",37.2849,21.5902,12.5881,25.2319
"415",37.6296,21.5302,12.4237,25.2295
"416",37.8268,21.6433,12.5135,25.3382
"417",37.7712,21.586,12.4951,25.3168
"418",37.6275,21.5594,12.5065,25.2541
