"","DSI"
"594",15.5584
"595",15.1967
"596",15.8887
"597",15.8261
"598",16.183
"599",16.3591
"600",16.1087
"601",15.9762
"602",15.6465
"603",15.6254
"604",16.0598
"605",16.0808
"606",15.6972
"607",15.9678
"608",16.0686
"609",15.4448
"610",14.8703
"611",15.1148
"612",14.7393
"613",14.47
"614",13.721
"615",13.6553
"616",13.6402
"617",13.7828
"618",14.1665
"619",14.4135
"620",14.917
"621",15.0409
"622",15.4318
"623",14.9891
"624",14.4875
"625",15.1814
"626",15.2363
"627",15.7264
"628",16.4012
"629",16.1321
"630",15.9811
"631",15.8689
"632",16.1061
"633",16.8917
"634",16.4349
"635",16.7768
"636",16.8271
"637",16.9891
"638",16.4864
"639",16.7594
"640",15.9721
"641",15.4883
"642",15.0452
"643",15.0024
"644",15.2064
"645",15.1532
"646",14.5974
"647",14.5074
"648",14.4455
"649",14.0674
"650",14.9322
"651",14.1737
"652",13.7941
"653",13.9027
"654",14.0222
"655",14.2864
"656",14.709
"657",14.6344
"658",15.0372
"659",15.804
"660",15.8176
"661",16.0745
"662",16.0551
"663",15.8946
"664",15.7199
"665",15.9046
"666",16.0473
"667",15.5136
"668",15.3996
"669",15.3335
"670",15.258
"671",15.7873
"672",16.1511
"673",15.9401
"674",16.4266
"675",16.4449
"676",16.5708
"677",16.6658
"678",16.2268
"679",15.3784
"680",15.5871
"681",15.8922
"682",15.6602
"683",14.8758
"684",15.5974
"685",15.4045
"686",15.7077
"687",16.0457
"688",15.4617
"689",15.0937
"690",15.0171
"691",15.5776
"692",15.4061
"693",15.3036
"694",15.2162
"695",15.5343
"696",15.3932
"697",15.9955
"698",15.2616
"699",15.1453
"700",15.4811
"701",15.9504
"702",15.7974
"703",15.4502
"704",15.5721
"705",15.4856
"706",15.4009
"707",15.6752
"708",15.604
"709",15.5087
"710",15.1258
"711",14.9736
"712",15.0251
"713",15.2366
"714",15.3296
"715",15.7924
"716",15.5977
"717",15.7304
"718",15.8925
"719",15.675
"720",15.6454
"721",14.8222
"722",15.5609
"723",15.0358
"724",15.1413
"725",15.9489
"726",15.2467
"727",16.1121
"728",15.7179
"729",15.8136
"730",15.523
"731",14.7999
"732",14.7635
"733",14.24
"734",14.99
"735",14.8173
"736",15.2124
"737",15.566
"738",15.7621
"739",14.8924
"740",14.5718
"741",14.4931
"742",14.4838
"743",15.1858
"744",15.4484
"745",15.7061
"746",14.9005
"747",14.9345
"748",15.6975
"749",15.341
"750",16.035
"751",15.3776
"752",15.7248
"753",15.6552
"754",15.3645
"755",16.0825
"756",15.4512
"757",15.9726
"758",15.9764
"759",16.0113
"760",15.7384
"761",15.7496
"762",15.7846
"763",15.9514
"764",15.9223
"765",15.5403
"766",15.9294
"767",15.8063
"768",15.5936
"769",15.8757
"770",16.1221
"771",16.2735
"772",16.0827
"773",15.8592
"774",15.8276
"775",15.9531
"776",15.9067
"777",16.1466
"778",15.7706
"779",15.7899
"780",15.7277
"781",15.5381
"782",15.7951
"783",15.6579
"784",15.3275
"785",15.2008
"786",14.7929
"787",15.5696
"788",15.9252
"789",15.2028
"790",15.689
"791",15.5708
"792",15.8559
"793",15.306
"794",15.6367
"795",15.5982
"796",15.6186
"797",15.0266
"798",14.7422
"799",14.0543
"800",14.2269
"801",13.9541
"802",14.1481
"803",15.1805
"804",14.5645
"805",14.7655
"806",14.6251
"807",14.732
"808",14.6771
"809",15.2187
"810",14.8631
"811",14.642
"812",15.4637
"813",15.1377
"814",15.0709
"815",15.318
"816",14.365
"817",14.7
"818",14.8832
"819",14.0965
"820",14.7947
"821",14.5218
"822",13.8789
"823",13.2977
"824",13.2205
"825",13.8119
"826",14.3603
"827",13.8688
"828",13.8217
"829",13.5516
"830",14.0999
"831",13.6711
"832",13.8183
"833",14.3015
"834",14.7731
"835",14.3637
"836",14.079
"837",14.3414
"838",13.7482
"839",13.9544
"840",14.0942
"841",14.1647
"842",14.2029
"843",13.4809
"844",13.9355
"845",14.1599
"846",14.7746
"847",14.2944
"848",14.8421
"849",14.6126
"850",14.7837
"851",14.6484
"852",15.1082
"853",14.7761
"854",14.6717
"855",14.5994
"856",14.8856
"857",14.9953
"858",14.7966
"859",15.2499
"860",15.1774
"861",14.2761
"862",14.2623
"863",13.9299
"864",14.0502
"865",13.5673
"866",13.9849
"867",14.7395
"868",14.9579
"869",14.2995
"870",14.7139
"871",15.1009
"872",14.7478
"873",14.5085
"874",14.5581
"875",14.9872
"876",14.7279
"877",14.1159
"878",14.5146
"879",15.2455
"880",14.6888
"881",15.4865
"882",15.7102
"883",15.0207
"884",14.521
"885",14.991
"886",15.2285
"887",14.9562
"888",15.1333
"889",14.5412
"890",15.0482
"891",14.696
"892",14.9253
"893",14.5818
"894",14.1228
"895",14.5734
"896",13.8323
"897",13.4942
"898",14.0343
"899",13.2065
"900",13.1821
"901",13.7251
"902",13.3492
"903",13.7804
"904",13.8543
"905",13.1398
"906",13.4536
"907",12.5846
"908",13.1528
"909",13.7552
"910",13.7017
"911",13.3806
"912",13.4749
"913",13.5858
"914",13.8187
"915",13.8049
"916",14.0356
"917",14.0276
"918",13.7258
"919",14.1743
"920",14.0497
"921",14.254
"922",14.1784
"923",14.792
"924",14.8103
"925",14.8139
"926",15.1034
"927",15.4016
"928",14.904
"929",14.4632
"930",13.8351
"931",14.1611
"932",14.5234
"933",13.6782
"934",13.6118
"935",13.5826
"936",13.8549
"937",13.5601
"938",13.7955
"939",13.9573
"940",14.5682
"941",14.2736
"942",14.0603
"943",13.2434
"944",14.0466
"945",14.5337
"946",15.2077
"947",15.0649
"948",15.2766
"949",15.4047
"950",15.1431
"951",15.5988
"952",15.5787
"953",14.6085
"954",14.1952
"955",14.2801
"956",14.7459
"957",14.5428
"958",13.995
"959",13.8934
"960",14.1501
"961",14.8525
"962",14.9442
"963",15.4731
"964",15.8741
"965",16.4753
"966",16.5609
"967",17.0304
"968",16.8156
"969",17.1456
"970",16.9495
"971",17.0958
"972",16.5204
"973",17.1331
"974",17.8403
"975",17.3729
"976",17.1623
"977",16.5262
"978",16.4061
"979",16.2381
"980",16.2234
"981",17.0033
"982",16.1192
"983",15.8326
"984",16.8799
"985",16.3903
"986",16.2617
"987",17.2234
"988",16.9138
"989",17.0961
"990",17.7104
"991",17.7106
"992",17.5236
"993",17.1251
"994",17.1186
"995",16.7026
