"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"235",32.3082,21.8505,12.7346,24.3799
"236",32.0001,21.8296,12.6769,24.2788
"237",32.7849,21.8801,12.6569,24.47
"238",32.2408,21.9402,12.6514,24.4154
"239",32.2646,21.7979,12.6806,24.3118
"240",32.2636,21.8713,12.6827,24.3606
"241",32.503,21.8583,12.6849,24.4156
"242",32.4412,21.8429,12.6363,24.3761
"243",32.6885,21.8788,12.5862,24.4528
"244",32.7799,21.9169,12.6634,24.4949
"245",32.8518,21.8608,12.6277,24.4784
"246",32.2855,21.8911,12.6955,24.3958
"247",32.5242,21.962,12.669,24.4977
"248",32.945,21.8796,12.6507,24.4997
"249",32.3198,21.9335,12.6318,24.4102
"250",32.535,21.9374,12.6483,24.4714
"251",32.5625,21.8488,12.5981,24.4215
"252",32.7698,21.9572,12.6481,24.5349
"253",32.4477,21.8786,12.7108,24.4025
"254",32.4424,21.9042,12.6178,24.43
"255",32.6916,21.9037,12.711,24.5
"256",32.6432,21.8263,12.6752,24.4109
"257",32.4773,21.8079,12.7264,24.3891
"258",32.473,21.8417,12.5849,24.3782
"259",32.8126,21.9573,12.6858,24.5448
"260",32.8884,21.7884,12.7439,24.4089
"261",32.8526,21.8247,12.7176,24.4392
"262",32.4017,21.8438,12.6808,24.3675
"263",32.5015,21.7927,12.7341,24.3474
"264",32.5825,21.9295,12.69,24.4869
"265",32.5453,21.8231,12.6671,24.3979
"266",32.6475,21.8674,12.6404,24.4741
"267",32.4917,21.8986,12.7314,24.4678
"268",32.5353,21.8235,12.6914,24.3889
"269",32.5738,21.811,12.62,24.3997
"270",32.3304,21.8974,12.6225,24.4234
"271",32.6561,21.9083,12.6765,24.4918
"272",32.5093,21.7449,12.7197,24.3233
"273",32.4696,21.8226,12.6284,24.3674
"274",32.6936,21.8743,12.6216,24.4563
"275",32.6302,21.8489,12.6702,24.4219
"276",32.466,21.8451,12.6165,24.3975
"277",32.1499,21.8228,12.6699,24.3433
"278",31.9159,21.8294,12.6578,24.2955
"279",31.9751,21.7272,12.7152,24.2164
"280",31.9602,21.8206,12.649,24.2794
"281",32.0164,21.8551,12.7005,24.3199
"282",31.8931,21.8393,12.6648,24.3049
"283",31.9445,21.9038,12.6314,24.3593
"284",32.045,21.8623,12.6988,24.3504
"285",32.1756,21.7979,12.6899,24.317
"286",32.1175,21.7668,12.6592,24.296
"287",31.9317,21.7887,12.7466,24.2967
"288",31.6178,21.8619,12.7231,24.2894
"289",31.8171,21.7614,12.6709,24.2239
"290",32.0097,21.7962,12.6518,24.2817
"291",31.7655,21.8204,12.7137,24.2507
"292",31.9802,21.8006,12.675,24.2614
"293",32.1904,21.9234,12.6177,24.4122
"294",31.9565,21.8263,12.6928,24.2915
"295",32.3423,21.8303,12.6382,24.3508
"296",32.2811,21.8996,12.7055,24.4249
"297",32.4988,21.8827,12.6602,24.4231
"298",32.3457,21.855,12.5957,24.376
"299",32.3187,21.8138,12.6775,24.3399
"300",32.2138,21.8262,12.6952,24.3217
"301",32.395,21.8456,12.6346,24.353
"302",32.0081,21.8283,12.7126,24.2875
"303",32.0206,21.8277,12.6255,24.2816
"304",32.098,21.8532,12.6593,24.3165
"305",32.516,21.9096,12.6074,24.4203
"306",33.0159,21.8729,12.6075,24.5056
"307",32.1853,21.7776,12.6292,24.2761
"308",32.191,21.8434,12.6418,24.3279
"309",32.0888,21.8725,12.6257,24.3238
"310",31.9658,21.8476,12.6918,24.2884
"311",32.3416,21.7991,12.65,24.3141
"312",32.362,21.8458,12.6679,24.3757
"313",32.2861,21.841,12.698,24.3604
"314",32.2238,21.8586,12.6617,24.3368
"315",32.0915,21.8913,12.6521,24.3488
"316",32.0298,21.8336,12.6327,24.2975
"317",31.9166,21.7712,12.6217,24.2119
"318",31.7027,21.8373,12.7098,24.2392
