#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
     474      33.2885      21.6527      12.6872      24.3119
     475      33.3510      21.6535      12.6746      24.3240
     476      33.3214      21.6575      12.5946      24.3276
     477      33.2879      21.6798      12.5879      24.3211
     478      33.3830      21.6471      12.6601      24.3283
     479      33.5339      21.6692      12.6639      24.3745
     480      32.9995      21.6535      12.7516      24.2799
     481      33.0863      21.6983      12.6293      24.3121
     482      33.0020      21.6954      12.6434      24.2965
     483      33.4927      21.6613      12.5679      24.3454
     484      33.3278      21.7707      12.6148      24.4184
     485      33.4458      21.7671      12.5852      24.4309
     486      33.3389      21.7913      12.5431      24.4419
     487      33.2152      21.6769      12.6546      24.3254
     488      33.6629      21.6908      12.6529      24.4190
     489      33.8923      21.6643      12.6814      24.4557
     490      33.8184      21.6497      12.6511      24.4264
     491      33.4950      21.6608      12.6771      24.3694
     492      33.2886      21.6617      12.6843      24.3376
     493      33.1692      21.6247      12.6951      24.2805
     494      33.1045      21.5738      12.7546      24.2286
     495      33.1406      21.5526      12.7570      24.2373
     496      33.5292      21.5849      12.7033      24.3208
     497      33.3187      21.5697      12.7021      24.2838
     498      33.1341      21.5874      12.7749      24.2536
     499      33.1744      21.5991      12.5454      24.2521
     500      33.4247      21.6501      12.5318      24.3236
     501      33.4456      21.5725      12.6217      24.2888
     502      33.3787      21.7586      12.6571      24.4157
     503      33.1233      21.6894      12.6009      24.3066
     504      33.1348      21.7190      12.6496      24.3317
     505      32.8955      21.7565      12.7149      24.3187
     506      33.1713      21.6956      12.6175      24.3340
     507      33.3417      21.7268      12.6033      24.3802
     508      33.1832      21.7303      12.6323      24.3524
     509      33.2260      21.6880      12.5809      24.3247
     510      33.1768      21.7376      12.6123      24.3517
     511      32.9886      21.7185      12.5886      24.2990
     512      33.3422      21.6091      12.5835      24.2939
     513      32.9565      21.6659      12.6792      24.2658
     514      32.9742      21.6479      12.5901      24.2600
     515      33.3437      21.6522      12.5971      24.3150
     516      33.1992      21.5859      12.5465      24.2349
     517      32.9377      21.6298      12.6546      24.2306
     518      33.1936      21.6102      12.6183      24.2630
     519      33.3962      21.6337      12.5568      24.3214
     520      33.1694      21.7522      12.5660      24.3607
     521      33.2880      21.6637      12.5239      24.3006
     522      33.5431      21.6575      12.6183      24.3641
     523      33.2603      21.6677      12.6072      24.3247
     524      33.2965      21.6756      12.5848      24.3309
     525      33.4192      21.6309      12.5706      24.3145
     526      33.3084      21.7494      12.5120      24.3847
     527      33.2462      21.7853      12.5684      24.3949
     528      33.2820      21.7351      12.5521      24.3703
     529      33.2459      21.7480      12.6021      24.3804
     530      33.3196      21.7859      12.6217      24.4294
     531      33.0413      21.7722      12.5834      24.3554
     532      33.1788      21.7047      12.5279      24.3259
     533      33.0609      21.6070      12.5824      24.2249
     534      33.0278      21.6533      12.6007      24.2593
     535      33.1682      21.6150      12.5227      24.2416
     536      33.1925      21.6621      12.5909      24.3041
     537      33.1275      21.7023      12.5705      24.3320
     538      33.0067      21.6984      12.5701      24.2904
     539      33.4728      21.7341      12.5145      24.4100
     540      33.4141      21.7156      12.5925      24.3920
     541      33.2766      21.6106      12.6327      24.2824
     542      33.1816      21.6375      12.5534      24.2821
     543      32.9267      21.5725      12.5933      24.1768
     544      33.4329      21.5931      12.5303      24.2893
     545      33.3601      21.5614      12.6303      24.2498
     546      33.1796      21.5866      12.6248      24.2308
     547      33.3832      21.6418      12.5759      24.3203
     548      33.1477      21.5971      12.5837      24.2409
     549      33.2324      21.6680      12.5851      24.3072
     550      33.1547      21.7055      12.5706      24.3225
     551      33.0759      21.6457      12.5970      24.2551
     552      33.5152      21.6183      12.5691      24.3203
     553      33.2307      21.6743      12.5604      24.3171
     554      33.5035      21.7404      12.5528      24.4211
     555      33.2284      21.6237      12.5847      24.2882
     556      33.3286      21.6890      12.5529      24.3411
     557      33.4136      21.7370      12.6135      24.4196
     558      33.4811      21.7077      12.5298      24.3831
     559      33.4350      21.6376      12.5637      24.3320
     560      33.3528      21.6606      12.5638      24.3350
     561      33.4113      21.7607      12.6283      24.4293
     562      33.3491      21.7100      12.5447      24.3590
     563      33.2468      21.6809      12.6128      24.3313
     564      33.2492      21.5469      12.5687      24.2353
     565      33.2286      21.6722      12.5466      24.3168
     566      33.3590      21.7538      12.5559      24.4108
     567      33.4126      21.7264      12.5038      24.3913
     568      33.2319      21.6800      12.5474      24.3295
     569      33.4391      21.6659      12.6661      24.3692
     570      33.2464      21.5147      12.6290      24.1980
     571      33.5369      21.6980      12.5767      24.3917
     572      33.1357      21.6505      12.6705      24.2999
     573      33.5497      21.6375      12.5708      24.3518
     574      33.1908      21.6234      12.5709      24.2730
     575      33.0968      21.6570      12.5419      24.2828
     576      33.2298      21.6694      12.5717      24.3219
     577      33.3521      21.5894      12.5472      24.2906
     578      33.2351      21.6715      12.7038      24.3290
     579      33.4079      21.5882      12.5631      24.2967
     580      32.9521      21.6092      12.6043      24.2265
     581      33.0886      21.6295      12.5884      24.2718
     582      33.0775      21.6013      12.5551      24.2442
     583      33.1143      21.6197      12.5411      24.2538
     584      33.2723      21.6411      12.6353      24.3087
