"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"582",59.1788,21.6432,12.5817,30.3671
"583",59.2806,21.8101,12.5354,30.5047
"584",59.4218,21.8073,12.5324,30.5328
"585",59.6568,21.8051,12.53,30.5971
"586",59.0111,21.7999,12.4973,30.4138
"587",59.4259,21.6957,12.5282,30.4643
"588",58.9196,21.718,12.547,30.354
"589",58.4939,21.6593,12.441,30.1875
"590",58.0254,21.6779,12.4742,30.0746
"591",58.248,21.686,12.5014,30.1357
"592",57.9959,21.7702,12.5929,30.1286
"593",57.3534,21.7376,12.4335,29.9202
"594",57.985,21.6851,12.567,30.0836
"595",58.0268,21.6891,12.4954,30.0846
"596",57.9517,21.6391,12.4259,30.0216
"597",57.7846,21.7271,12.644,30.0542
"598",57.377,21.6999,12.5359,29.9136
"599",58.03,21.6979,12.4738,30.0903
"600",57.7347,21.7116,12.5168,30.0102
"601",58.2628,21.7326,12.5394,30.1824
"602",57.2033,21.7495,12.496,29.8874
"603",57.3374,21.7198,12.5308,29.9049
"604",57.851,21.7797,12.539,30.0935
"605",57.5367,21.7703,12.5917,30.0006
"606",57.1698,21.7077,12.485,29.8607
"607",56.509,21.6711,12.5517,29.6631
"608",55.9681,21.6766,12.4702,29.5152
"609",56.2687,21.756,12.519,29.647
"610",56.476,21.8055,12.5166,29.7435
"611",56.7423,21.701,12.5833,29.7473
"612",57.6325,21.7438,12.4903,29.9981
"613",56.6672,21.7475,12.5182,29.758
"614",56.8279,21.7945,12.5212,29.8299
"615",56.8055,21.7248,12.4533,29.7659
"616",57.0086,21.7796,12.4924,29.8586
"617",57.9188,21.7511,12.5496,30.0999
"618",58.8582,21.8476,12.4889,30.4018
"619",57.9032,21.8457,12.4961,30.1429
"620",57.7171,21.782,12.4957,30.0458
"621",57.2558,21.7414,12.4668,29.8959
"622",57.42,21.7041,12.5125,29.9288
"623",57.8905,21.7459,12.5921,30.082
"624",57.4758,21.77,12.5157,29.9836
"625",57.9231,21.7657,12.6076,30.1009
"626",57.0731,21.7787,12.5297,29.8813
"627",56.7424,21.8002,12.5187,29.7998
"628",57.0046,21.8813,12.4555,29.914
"629",56.9626,21.8282,12.5403,29.8801
"630",57.6251,21.8077,12.4859,30.0458
"631",57.9185,21.8226,12.3876,30.131
"632",58.8335,21.8641,12.4721,30.4011
"633",58.6789,21.7499,12.4886,30.2903
"634",58.7079,21.806,12.4533,30.3288
"635",58.3288,21.814,12.4978,30.2312
"636",59.6168,21.8539,12.4655,30.6202
"637",59.0411,21.7807,12.4609,30.4122
"638",59.1721,21.7685,12.3968,30.4427
"639",58.5265,21.684,12.4759,30.2085
"640",59.0948,21.7354,12.5136,30.4074
"641",59.2254,21.7461,12.4773,30.4345
"642",58.0554,21.7211,12.4378,30.0992
"643",57.6317,21.7663,12.4523,30.0135
"644",58.1211,21.7759,12.579,30.1582
"645",58.0449,21.8054,12.4876,30.145
"646",58.155,21.8197,12.4968,30.1976
"647",58.3563,21.7403,12.4545,30.1875
"648",59.0811,21.7819,12.4475,30.4112
"649",59.1386,21.7901,12.546,30.4397
"650",59.2471,21.7575,12.4739,30.4618
"651",60.1555,21.828,12.4948,30.7426
"652",59.4285,21.7531,12.5546,30.496
"653",59.7881,21.7981,12.5338,30.6198
"654",60.3059,21.7805,12.7114,30.7756
"655",60.2173,21.7585,12.5216,30.7236
"656",60.6341,21.8059,12.5909,30.8813
"657",60.5973,21.7683,12.558,30.8373
"658",60.5898,21.8359,12.4932,30.8713
"659",59.6038,21.6995,12.4368,30.5096
"660",59.8051,21.7219,12.4322,30.5802
"661",59.4196,21.7387,12.4731,30.4907
"662",60.2912,21.7494,12.5882,30.7334
"663",61.105,21.7519,12.5774,30.9678
"664",60.8976,21.739,12.4971,30.8882
"665",60.9943,21.711,12.5709,30.9158
"666",60.739,21.782,12.5344,30.8864
"667",60.7746,21.7385,12.5639,30.8633
"668",61.2423,21.7387,12.5678,30.9923
"669",61.0633,21.7293,12.5095,30.9391
"670",60.6748,21.8126,12.4684,30.8702
"671",60.8676,21.7786,12.42,30.9051
"672",60.302,21.7354,12.5251,30.7285
"673",60.306,21.7518,12.4883,30.7325
"674",60.3736,21.7658,12.4289,30.7655
"675",60.6553,21.733,12.5459,30.8328
"676",59.8068,21.7525,12.537,30.5878
"677",60.1614,21.8147,12.6039,30.7379
"678",59.677,21.7539,12.5352,30.5636
"679",60.2429,21.7982,12.5619,30.7512
"680",60.2906,21.7754,12.6085,30.7534
"681",60.1645,21.7623,12.5075,30.7031
"682",60.1356,21.686,12.5058,30.6485
"683",60.3961,21.8161,12.5408,30.8096
"684",59.9218,21.7734,12.5546,30.6506
"685",59.8635,21.7282,12.5099,30.6032
"686",59.2946,21.7621,12.5667,30.4692
"687",59.8073,21.8209,12.4501,30.6371
"688",60.0545,21.7823,12.5046,30.6828
"689",60.4009,21.7871,12.5814,30.7934
"690",60.3398,21.8211,12.4511,30.7871
"691",59.6659,21.6936,12.409,30.5217
"692",60.5268,21.7619,12.5339,30.8235
"693",59.8457,21.7554,12.4402,30.6136
"694",59.9197,21.7382,12.4635,30.6243
"695",59.5964,21.721,12.4569,30.5295
"696",59.6677,21.7724,12.4606,30.5776
"697",59.2364,21.7468,12.4073,30.4403
"698",59.6179,21.7956,12.4449,30.578
"699",59.7763,21.7609,12.4474,30.593
"700",59.5884,21.8177,12.4924,30.5834
"701",59.1076,21.7637,12.4606,30.4178
"702",58.6525,21.764,12.4095,30.2905
"703",59.4313,21.7416,12.4631,30.496
"704",59.1666,21.7295,12.4828,30.4105
"705",59.2539,21.7557,12.4992,30.4668
"706",59.4413,21.8016,12.5484,30.5462
"707",60.0876,21.6836,12.4808,30.6437
"708",59.9405,21.7449,12.4192,30.6393
"709",59.6864,21.7494,12.4787,30.5658
"710",59.7737,21.8347,12.4725,30.6499
"711",59.6744,21.7282,12.4794,30.5637
"712",59.4335,21.6795,12.462,30.4726
"713",59.8111,21.7757,12.4587,30.6335
"714",59.1956,21.7041,12.4836,30.4154
"715",59.7746,21.7019,12.4298,30.5792
"716",60.0227,21.7391,12.4447,30.6596
